brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,genseed,errmetrics,rmse,mae,PredictMethod,L,int_fraction,nints,numnonints,r,barytol,inttol,nnMax,nn_mae,nn_rmse,barytype,barypars
1,gpr,0.0001,0,15-Oct-2020 16:37:44,10000,10000,12,ff65e3f,3f0a1ab4,5dof,5dof,0,8.014316,,1129595473,,0.0561081319878169,0.0393257149330942,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:36:23,10000,10000,12,ff65e3f,52cc2955,5dof,5dof,0,8.864829,,1129586251,,0.0556381779577457,0.0389475860394942,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:48:34,10000,10000,12,ff65e3f,ac45cdae,5dof,5dof,0,8.216955,,1129660320,,0.0564018655158562,0.0396897488905777,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:50:26,10000,10000,12,ff65e3f,f14db31e,5dof,5dof,0,23.925583,,1129672156,,0.0561832225820791,0.0395034522843623,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:38:23,10000,10000,12,ff65e3f,a1efce12,5dof,5dof,0,7.474925,,1129599412,,0.0560574401469305,0.0393583790565763,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:44:54,10000,10000,12,ff65e3f,16c44269,5dof,5dof,0,22.135153,,1129638811,,0.0561699443771943,0.0390219194887345,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:37:04,10000,10000,12,ff65e3f,cbaf7294,5dof,5dof,0,7.733143,,1129591536,,0.0562254071631842,0.0394881304754815,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:39:06,1000,10000,12,ff65e3f,ae11991f,5dof,5dof,0,1.402494,,1129604485,,0.0699858079914809,0.0500726786907572,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:36:48,1000,10000,12,ff65e3f,75e9ff71,5dof,5dof,0,1.311053,,1129591175,,0.0698281311302855,0.0495844432349336,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:36:42,1000,10000,12,ff65e3f,1dabfe2e,5dof,5dof,0,2.065158,,1129589138,,0.0689318981622135,0.048474444875772,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:39:15,1000,10000,12,ff65e3f,2a4c5b7a,5dof,5dof,0,1.704522,,1129605809,,0.0708755097254562,0.0501194257829562,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:39:20,1000,10000,12,ff65e3f,ba92e5a9,5dof,5dof,0,1.268569,,1129606244,,0.070539003125476,0.0502723311769382,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:39:33,1000,10000,12,ff65e3f,4cf3ecf2,5dof,5dof,0,1.314147,,1129607398,,0.0717890894841417,0.0511864783395029,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:37:30,1000,10000,12,ff65e3f,f24acdc6,5dof,5dof,0,1.451288,,1129595388,,0.0698206802475132,0.0497120529292991,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:37:20,1000,10000,12,ff65e3f,0e5a00ff,5dof,5dof,0,2.46583,,1129594252,,0.0690710434759141,0.0490043765324898,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:37:54,1000,10000,12,ff65e3f,95cf1c6d,5dof,5dof,0,1.331193,,1129597571,,0.0690394299678391,0.049401029501411,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,gpr,0.0001,0,15-Oct-2020 16:38:25,1000,10000,12,ff65e3f,0ca0470c,5dof,5dof,0,1.47377,,1129600635,,0.0702348442221506,0.0504525435578997,exact,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
